Name,Sport,Year,Class_Year,Position,Hometown,High_School,Height,Weight,Source_URL
James Few,Football,2014,Jr.,QB,"Tampa, Fla.",HB Plant HS,6-2,203,https://cornellbigred.com/sports/football/roster/2014-15
James Hubbard,Football,2014,Fr.,WR,"Fullerton, Calif.",Fullerton HS,6-0,168,https://cornellbigred.com/sports/football/roster/2014-15
James White,Football,2014,Jr.,OLB,"New Orleans, La.",Isidore Newman School,5-10,189,https://cornellbigred.com/sports/football/roster/2014-15
Jarrod Watson-Lewis,Football,2014,Jr.,CB,"Oceanside, Calif.",Santa Fe Christian HS,6-0,195,https://cornellbigred.com/sports/football/roster/2014-15
Javier Rodriguez,Football,2014,Sr.,WR,"Miami, Fla.",Belen Jesuit Prep HS,5-10,177,https://cornellbigred.com/sports/football/roster/2014-15
Jelani  King,Football,2014,Fr.,CB,"Albany, N.Y.",Albany Academy,5-11,151,https://cornellbigred.com/sports/football/roster/2014-15
Jeremiah Shaw,Football,2014,Fr.,ILB,"Westerville, Ohio",Westerville Central HS,6-3,216,https://cornellbigred.com/sports/football/roster/2014-15
Joe Pierik,Football,2014,So.,PK,"Corona, Calif.",Notre Dame HS,5-11,158,https://cornellbigred.com/sports/football/roster/2014-15
John Foster,Football,2014,So.,OL,"Scituate, Mass.",Scituate HS,6-5,262,https://cornellbigred.com/sports/football/roster/2014-15
John Wells,Football,2014,Sr.,PK,"Paradise Valley, Ariz.",Cathedral Catholic (Calif.) HS,6-1,200,https://cornellbigred.com/sports/football/roster/2014-15
Johnny Bieren,Football,2014,Jr.,DL,"Nashua, N.H.",Nashua South HS,6-4,236,https://cornellbigred.com/sports/football/roster/2014-15
Jonathan Ford,Football,2014,Jr.,OLB,"Johns Creek, Ga.",Greater Atlanta Christian School,6-2,222,https://cornellbigred.com/sports/football/roster/2014-15
Jordan Majors,Football,2014,Fr.,CB,"Newtown Square, Pa.",Malvern Prep HS,6-2,198,https://cornellbigred.com/sports/football/roster/2014-15
Jordan Young,Football,2014,So.,WR,"Charlotte, N.C.",Davidson Day School,5-10,175,https://cornellbigred.com/sports/football/roster/2014-15
Josh Sweet,Football,2014,Fr.,RB,"Purcellville, Va.",Woodgrove HS,5-10,213,https://cornellbigred.com/sports/football/roster/2014-15
Julian Gallo,Football,2014,Jr.,RB,"Modesto, Calif.",Modesto HS,6-2,239,https://cornellbigred.com/sports/football/roster/2014-15
Justin Harris,Football,2014,Sr.,DL,"Dacula, Ga.",St. Pius X Catholic HS,6-6,272,https://cornellbigred.com/sports/football/roster/2014-15
Justin Solomon,Football,2014,So.,S,"Chandler, Ariz.",Basha HS,6-2,207,https://cornellbigred.com/sports/football/roster/2014-15
Kurt Frimel,Football,2014,Fr.,ILB,"Cream Ridge, N.J.",New Egypt HS,6-1,226,https://cornellbigred.com/sports/football/roster/2014-15
Kyle Gallagher,Football,2014,Fr.,QB,"Endwell, N.Y.",Maine-Endwell HS,6-4,206,https://cornellbigred.com/sports/football/roster/2014-15
Lewis Sweeney,Football,2014,Jr.,OLB,"St. Louis, Mo.",Mehlville HS,6-3,225,https://cornellbigred.com/sports/football/roster/2014-15
Logan Murphy,Football,2014,Jr.,OLB,"Boiling Springs, Pa.",Boiling Springs HS,6-6,240,https://cornellbigred.com/sports/football/roster/2014-15
Lucas Raley,Football,2014,Fr.,OL,"Abilene, Texas",Cooper HS,6-3,282,https://cornellbigred.com/sports/football/roster/2014-15
Lucas Shapiro,Football,2014,Sr.,WR,"Antioch, Calif.",De La Salle HS,6-5,212,https://cornellbigred.com/sports/football/roster/2014-15
Luis Uceta,Football,2014,So.,WR,"Endwell, N.Y.",Maine-Endwell HS,5-10,165,https://cornellbigred.com/sports/football/roster/2014-15
Luke Hagy,Football,2014,Jr.,RB,"Pittsburgh, Pa.",Mt. Lebanon HS,6-0,196,https://cornellbigred.com/sports/football/roster/2014-15
Mac Pope,Football,2014,Fr.,FB/LS,"Pittsburgh, Pa.",Upper St. Clair HS,6-1,233,https://cornellbigred.com/sports/football/roster/2014-15
Marshall Deutz,Football,2014,So.,WR,"Manhattan Beach, Calif.",Miramonte HS,5-10,175,https://cornellbigred.com/sports/football/roster/2014-15
Mason Melin,Football,2014,So.,TE/HB,"Danville, Calif.",Monte Vista HS,6-3,238,https://cornellbigred.com/sports/football/roster/2014-15
Matt Doneth,Football,2014,Jr.,TE/HB,"Fenton, Mich.",Detroit Catholic Central HS,6-5,243,https://cornellbigred.com/sports/football/roster/2014-15
Matt Smith,Football,2014,Jr.,CB,"Phoenix, Ariz.",Desert Vista HS,5-9,189,https://cornellbigred.com/sports/football/roster/2014-15
Matt Sullivan,Football,2014,So.,TE/HB,"Westfield, Mass.",Cathedral HS,6-4,242,https://cornellbigred.com/sports/football/roster/2014-15
Matt Testani,Football,2014,Jr.,LS,"Williston Park, N.Y.",St. Francis Prep HS,6-1,273,https://cornellbigred.com/sports/football/roster/2014-15
Michael Hobson,Football,2014,So.,PK,"Coos Bay, Ore.",North Bend HS,5-10,170,https://cornellbigred.com/sports/football/roster/2014-15
Michael Staples,Football,2014,So.,DL,"Wayne, Pa.",Radnor HS,6-3,282,https://cornellbigred.com/sports/football/roster/2014-15
Michael Turner,Football,2014,Sr.,CB,"Pikesville, Md.",Boys Latin School,6-0,199,https://cornellbigred.com/sports/football/roster/2014-15
Mike Tate,Football,2014,Jr.,OLB,"Tampa, Fla.",Plant HS,6-0,183,https://cornellbigred.com/sports/football/roster/2014-15
Miles Norris,Football,2014,So.,ILB,"Baltimore, Md.",Gilman School,6-0,227,https://cornellbigred.com/sports/football/roster/2014-15
Nick Bland,Football,2014,So.,TE/HB,"Milton, Mass.",Milton Academy,6-5,242,https://cornellbigred.com/sports/football/roster/2014-15
Nick Gesualdi,Football,2014,Fr.,S,"Sykesville, Md.",Boys Latin School,6-0,188,https://cornellbigred.com/sports/football/roster/2014-15
Nick Milo,Football,2014,So.,OL,"Columbus, Ohio",Upper Arlington HS,6-2,266,https://cornellbigred.com/sports/football/roster/2014-15
Nick Roach,Football,2014,Jr.,OL,"Schererville, Ind.",Mt. Carmel HS,6-4,298,https://cornellbigred.com/sports/football/roster/2014-15
Niniva Kinikini,Football,2014,So.,OL,"Salt Lake City, Utah",Pleasant Grove HS,6-3,271,https://cornellbigred.com/sports/football/roster/2014-15
Robert Somborn,Football,2014,So.,QB,"McKinney, Texas",McKinney HS,6-1,189,https://cornellbigred.com/sports/football/roster/2014-15
Rush Imhotep,Football,2014,Sr.,S,"Brooklyn, N.Y.",Poly Prep Country Day School,6-2,209,https://cornellbigred.com/sports/football/roster/2014-15
Sean Scullen,Football,2014,Fr.,S,"Rochester, Mich.",Stoney Creek HS,6-3,202,https://cornellbigred.com/sports/football/roster/2014-15
Seth Hope,Football,2014,Fr.,OLB,"Fort Thomas, Ky.",Highlands HS,6-3,225,https://cornellbigred.com/sports/football/roster/2014-15
Shane McManamon,Football,2014,Sr.,OL,"Westlake, Ohio",St. Edward HS,6-2,286,https://cornellbigred.com/sports/football/roster/2014-15
Tanner Wrout,Football,2014,Jr.,RB,"Camarillo, Calif.",Rio Mesa HS,6-0,217,https://cornellbigred.com/sports/football/roster/2014-15
Taylor Betros,Football,2014,Sr.,ILB,"Jacksonville, Fla.",The Bolles School,5-11,226,https://cornellbigred.com/sports/football/roster/2014-15
Theo  Goosen,Football,2014,Fr.,OL,"Virginia Beach, Va.",Tallwood HS,6-4,286,https://cornellbigred.com/sports/football/roster/2014-15
Trey Duncombe,Football,2014,Fr.,CB,"Fort Bragg, N.C.",South View HS,5-10,170,https://cornellbigred.com/sports/football/roster/2014-15
Twan Terrell,Football,2014,Jr.,S,"Rockmart, Ga.",Woodland HS,6-2,211,https://cornellbigred.com/sports/football/roster/2014-15
VJ Fitzpatrick,Football,2014,Jr.,WR,"O'Fallon, Mo.",Fort Zumwalt North HS,6-1,194,https://cornellbigred.com/sports/football/roster/2014-15
Whit Knickerbocker,Football,2014,Fr.,ILB,"Pittsford, N.Y.",Pittsford HS,6-1,198,https://cornellbigred.com/sports/football/roster/2014-15
Zach Wilk,Football,2014,Jr.,OL,"Harrisburg, Pa.",Central Dauphin HS,6-4,288,https://cornellbigred.com/sports/football/roster/2014-15
Alberto Sandoval,Football,2015,So.,DL,"Wixom, Mich.",Brother Rice HS,6-4,290,https://cornellbigred.com/sports/football/roster/2015-16
Alex Emanuels,Football,2015,Jr.,OL,"Mercer Island, Wash.",Mercer Island HS,6-2,285,https://cornellbigred.com/sports/football/roster/2015-16
Andrew Johnson,Football,2015,Sr.,TE,"Ithaca, N.Y.",Ithaca HS,6-5,260,https://cornellbigred.com/sports/football/roster/2015-16
Andrew Pacheco,Football,2015,Jr.,S,"Rancho Cucamonga, Calif.",Alta Loma HS,5-10,178,https://cornellbigred.com/sports/football/roster/2015-16
Ardian Sahinovic,Football,2015,Sr.,P,"New Fairfield, Conn.",New Fairfield HS,6-6,252,https://cornellbigred.com/sports/football/roster/2015-16
Austin Holmes,Football,2015,Fr.,CB,"Silver Spring, Md.",The Maret School,5-9,170,https://cornellbigred.com/sports/football/roster/2015-16
Baba  Adejuyigbe,Football,2015,So.,ILB,"Kwazulu Natal, South Africa",Hilton College,6-0,227,https://cornellbigred.com/sports/football/roster/2015-16
Ben Rogers,Football,2015,Sr.,WR,"Geneva, Ill.",Geneva Community HS,6-2,205,https://cornellbigred.com/sports/football/roster/2015-16
Brady Malone,Football,2015,Jr.,WR,"Herndon, Va.",Gonzaga College HS,6-3,198,https://cornellbigred.com/sports/football/roster/2015-16
Brett Jones,Football,2015,Sr.,DL,"Naperville, Ill.",Naperville North HS,6-0,293,https://cornellbigred.com/sports/football/roster/2015-16
Brock Thomas,Football,2015,So.,S,"Plano, Texas",Trinity Christian Academy-Addison,6-0,202,https://cornellbigred.com/sports/football/roster/2015-16
Chase Wickenheiser,Football,2015,Fr.,DL,"Clarks Summit, Pa.",Abington Heights HS,6-5,257,https://cornellbigred.com/sports/football/roster/2015-16
Chris Fraser,Football,2015,Jr.,P,"Potomac, Md.",Saint Albans School For Boys,6-2,211,https://cornellbigred.com/sports/football/roster/2015-16
Chris Lenz,Football,2015,Sr.,WR,"Mechanicsburg, Pa.",Trinity HS,6-3,212,https://cornellbigred.com/sports/football/roster/2015-16
Chris Walker,Football,2015,Fr.,RB,"Lewisburg, Tenn.",Marshall County HS,6-1,199,https://cornellbigred.com/sports/football/roster/2015-16
Christian Kelley,Football,2015,Fr.,ILB,"Kulpmont, Pa.",Mount Carmel Area HS,6-2,242,https://cornellbigred.com/sports/football/roster/2015-16
Cole Needham,Football,2015,So.,CB,"Encinitas, Calif.",Santa Fe Christian School,6-0,188,https://cornellbigred.com/sports/football/roster/2015-16
Collin Shaw,Football,2015,Jr.,WR,"Plano, Texas",Plano East Senior HS,6-2,215,https://cornellbigred.com/sports/football/roster/2015-16
Connor Smith,Football,2015,So.,OL,"Three Rivers, Mich.",Three Rivers HS,6-5,285,https://cornellbigred.com/sports/football/roster/2015-16
Corey Dean,Football,2015,Jr.,DL,"Cortlandt Manor, N.Y.",Walter Panas HS,6-3,268,https://cornellbigred.com/sports/football/roster/2015-16
Curt McLeod,Football,2015,Fr.,TE,"Hingham, Mass.",Williston Northampton School,6-5,228,https://cornellbigred.com/sports/football/roster/2015-16
Cyrus Nolan,Football,2015,Fr.,OLB,"Encinitas, Calif.",Bishop's HS,6-3,210,https://cornellbigred.com/sports/football/roster/2015-16
DJ Woullard,Football,2015,Fr.,CB,"Fullerton, Calif.",Fullerton Union HS,6-1,184,https://cornellbigred.com/sports/football/roster/2015-16
Dalton Banks,Football,2015,Fr.,QB,"San Antonio, Texas",Alamo Heights HS,6-3,232,https://cornellbigred.com/sports/football/roster/2015-16
Dan Morin,Football,2015,Jr.,OL,"Overland Park, Kan.",St. Thomas Aquinas HS,6-3,301,https://cornellbigred.com/sports/football/roster/2015-16
Dane Brown,Football,2015,Jr.,RB,"Export, Pa.",Franklin Regional HS,5-7,188,https://cornellbigred.com/sports/football/roster/2015-16
Daniel Crochet,Football,2015,So.,ILB,"Stone Mountain, Ga.",Saint Pius X Catholic HS,6-3,232,https://cornellbigred.com/sports/football/roster/2015-16
Daniel Cunningham,Football,2015,Sr.,OL,"Memphis, Tenn.",Memphis University School,6-7,291,https://cornellbigred.com/sports/football/roster/2015-16
David D'Amelio,Football,2015,Fr.,OL,"Naples, Fla.",Barron Collier HS,6-3,282,https://cornellbigred.com/sports/football/roster/2015-16
Debo Sodeke,Football,2015,Sr.,OLB,"Houston, Texas",George Bush HS,6-2,238,https://cornellbigred.com/sports/football/roster/2015-16
Del Barnes,Football,2015,Sr.,CB,"Henderson, Texas",Henderson HS,6-0,193,https://cornellbigred.com/sports/football/roster/2015-16
Demetrius  Daltirus,Football,2015,So.,FB,"Yardley, Pa.",Blair Academy,6-2,231,https://cornellbigred.com/sports/football/roster/2015-16
Doug Vernon-Scott,Football,2015,Sr.,WR,"Folsom, Calif.",Folsom HS,6-4,214,https://cornellbigred.com/sports/football/roster/2015-16
Drew Diedrich,Football,2015,Jr.,DL,"Ann Arbor, Mich.",Father Gabriel Richard HS,6-3,265,https://cornellbigred.com/sports/football/roster/2015-16
Eric Sade,Football,2015,Jr.,CB,"Washington, D.C.",St. Albans HS,6-0,197,https://cornellbigred.com/sports/football/roster/2015-16
Erik Bloomquist,Football,2015,So.,CB,"Sacramento, Calif.",Christian Brothers HS,6-1,198,https://cornellbigred.com/sports/football/roster/2015-16
Flint Geier,Football,2015,Jr.,OL,"Alpharetta, Ga.",Mount Pisgah Christian School,6-3,313,https://cornellbigred.com/sports/football/roster/2015-16
Garrett Cloer,Football,2015,Fr.,QB,"Hurdle Mills, N.C.",Orange HS,6-5,213,https://cornellbigred.com/sports/football/roster/2015-16
Geno DeMarco,Football,2015,So.,DL,"Perrysburg, Ohio",Toledo St. John’s Jesuit HS,6-3,275,https://cornellbigred.com/sports/football/roster/2015-16
Gus Basanes,Football,2015,So.,OL,"Bethesda, Md.",Georgetown Prep HS,6-4,283,https://cornellbigred.com/sports/football/roster/2015-16
Gustavo Dorsett,Football,2015,Fr.,S,"El Paso, Texas",Franklin HS,6-2,191,https://cornellbigred.com/sports/football/roster/2015-16
Hank deGlee,Football,2015,Fr.,TE,"South New Berlin, N.Y.",Unadilla Valley Central HS,6-5,254,https://cornellbigred.com/sports/football/roster/2015-16
Hayes Nolte,Football,2015,So.,TE,"Blue Bell, Pa.",Germantown Academy,6-4,250,https://cornellbigred.com/sports/football/roster/2015-16
Henry Stillwell,Football,2015,Fr.,OL,"Richmond, Va.",St. Christopher's School,6-5,263,https://cornellbigred.com/sports/football/roster/2015-16
Islam Mohamed,Football,2015,Jr.,OL,"Inwood, N.Y.",Lawrence HS,6-3,277,https://cornellbigred.com/sports/football/roster/2015-16
J. Edward Keating,Football,2015,Fr.,DL,"Birmingham, Mich.",Detroit Country Day School,6-4,286,https://cornellbigred.com/sports/football/roster/2015-16
J.D. PicKell,Football,2015,Fr.,RB,"Santa Ana, Calif.",Orange Lutheran HS,6-0,196,https://cornellbigred.com/sports/football/roster/2015-16
JJ Fives,Football,2015,Sr.,OLB,"Scott Township, Pa.",Scranton Prep HS,6-2,240,https://cornellbigred.com/sports/football/roster/2015-16
Jack Gellatly,Football,2015,So.,FB,"Bellevue, Wash.",Issaquah HS,5-11,228,https://cornellbigred.com/sports/football/roster/2015-16
Jackson Weber,Football,2015,Jr.,ILB,"Whitefish Bay, Wis.",Whitefish Bay HS,6-2,237,https://cornellbigred.com/sports/football/roster/2015-16
Jaivon Gibbs,Football,2015,Jr.,S,"Upper Marlboro, Md.",Gonzaga College HS,5-11,183,https://cornellbigred.com/sports/football/roster/2015-16
Jake Jatis,Football,2015,So.,QB,"Crown Point, Ind.",Crown Point HS,6-4,235,https://cornellbigred.com/sports/football/roster/2015-16
Jake Waltman,Football,2015,Jr.,OL,"Ringgold, Va.",Dan River HS,6-3,306,https://cornellbigred.com/sports/football/roster/2015-16
Jake Watkins,Football,2015,Fr.,CB,"Yorba Linda, Calif.",Valencia HS,6-1,183,https://cornellbigred.com/sports/football/roster/2015-16
James Eaton,Football,2015,So.,DL,"Tulsa, Okla.",Holland Hall HS,6-2,242,https://cornellbigred.com/sports/football/roster/2015-16
James Hubbard,Football,2015,So.,WR,"Fullerton, Calif.",Fullerton HS,6-0,174,https://cornellbigred.com/sports/football/roster/2015-16
James White,Football,2015,Sr.,OLB,"New Orleans, La.",Isidore Newman School,5-10,187,https://cornellbigred.com/sports/football/roster/2015-16
Jarrod Watson-Lewis,Football,2015,Sr.,CB,"Oceanside, Calif.",Santa Fe Christian HS,6-0,195,https://cornellbigred.com/sports/football/roster/2015-16
Jelani  King,Football,2015,So.,CB,"Albany, N.Y.",Albany Academy,5-11,170,https://cornellbigred.com/sports/football/roster/2015-16
Jeremiah Shaw,Football,2015,So.,OLB,"Westerville, Ohio",Westerville Central HS,6-3,226,https://cornellbigred.com/sports/football/roster/2015-16
Joe Pierik,Football,2015,Jr.,PK,"Corona, Calif.",Notre Dame HS,5-11,158,https://cornellbigred.com/sports/football/roster/2015-16
John Foster,Football,2015,Jr.,OL,"Scituate, Mass.",Scituate HS,6-5,279,https://cornellbigred.com/sports/football/roster/2015-16
Jonathan Ford,Football,2015,Sr.,OLB,"Johns Creek, Ga.",Greater Atlanta Christian School,6-2,222,https://cornellbigred.com/sports/football/roster/2015-16
Jordan Majors,Football,2015,So.,CB,"Newtown Square, Pa.",Malvern Prep HS,6-2,205,https://cornellbigred.com/sports/football/roster/2015-16
Jordan Young,Football,2015,Jr.,WR,"Charlotte, N.C.",Davidson Day School,5-10,187,https://cornellbigred.com/sports/football/roster/2015-16
Josh Sweet,Football,2015,So.,RB,"Purcellville, Va.",Woodgrove HS,5-10,219,https://cornellbigred.com/sports/football/roster/2015-16
Julian Gallo,Football,2015,Sr.,FB,"Modesto, Calif.",Modesto HS,6-2,246,https://cornellbigred.com/sports/football/roster/2015-16
Justin Solomon,Football,2015,Jr.,OLB,"Chandler, Ariz.",Basha HS,6-2,220,https://cornellbigred.com/sports/football/roster/2015-16
Kelvin Mills,Football,2015,Fr.,S,"Sanford, Fla.",Seminole HS,6-0,190,https://cornellbigred.com/sports/football/roster/2015-16
Kurt Frimel,Football,2015,So.,ILB,"Cream Ridge, N.J.",New Egypt HS,6-1,242,https://cornellbigred.com/sports/football/roster/2015-16
Kyle Gallagher,Football,2015,So.,QB,"Endwell, N.Y.",Maine-Endwell HS,6-4,208,https://cornellbigred.com/sports/football/roster/2015-16
Lars Pedersen,Football,2015,Fr.,WR,"Wilmington, Vt.",St. Joseph HS,5-11,191,https://cornellbigred.com/sports/football/roster/2015-16
Lucas Raley,Football,2015,So.,OL,"Abilene, Texas",Cooper HS,6-3,289,https://cornellbigred.com/sports/football/roster/2015-16
Luis Uceta,Football,2015,Jr.,CB,"Endwell, N.Y.",Maine-Endwell HS,5-10,176,https://cornellbigred.com/sports/football/roster/2015-16
Luke Hagy,Football,2015,Sr.,RB,"Pittsburgh, Pa.",Mt. Lebanon HS,6-0,204,https://cornellbigred.com/sports/football/roster/2015-16
Mac Pope,Football,2015,So.,FB/LS,"Pittsburgh, Pa.",Upper St. Clair HS,6-1,238,https://cornellbigred.com/sports/football/roster/2015-16
Malcolm Chaka,Football,2015,Fr.,OLB,"Mississauga, Ontario",Lake Forest Academy (Ill.),6-3,218,https://cornellbigred.com/sports/football/roster/2015-16
Malek Jacobs,Football,2015,Fr.,WR,"Austin, Texas",Westlake HS,5-7,170,https://cornellbigred.com/sports/football/roster/2015-16
Marshall Deutz,Football,2015,Jr.,WR,"Manhattan Beach, Calif.",Miramonte HS,5-10,187,https://cornellbigred.com/sports/football/roster/2015-16
Mason Banbury,Football,2015,Fr.,DL,"East Grand Rapids, Mich.",East Grand Rapids HS,6-4,245,https://cornellbigred.com/sports/football/roster/2015-16
Mason Manning III,Football,2015,Fr.,OL,"Olympia, Wash.",Capital HS,6-6,295,https://cornellbigred.com/sports/football/roster/2015-16
Matt Doneth,Football,2015,Sr.,TE,"Fenton, Mich.",Detroit Catholic Central HS,6-5,256,https://cornellbigred.com/sports/football/roster/2015-16
Matt Sullivan,Football,2015,Jr.,TE,"Westfield, Mass.",Cathedral HS,6-4,258,https://cornellbigred.com/sports/football/roster/2015-16
Matt Testani,Football,2015,Sr.,LS,"Williston Park, N.Y.",St. Francis Prep HS,6-1,287,https://cornellbigred.com/sports/football/roster/2015-16
Maximilian Gardner,Football,2015,Fr.,OL,"Carlsbad, Calif.",Santa Fe Christian School,6-9,292,https://cornellbigred.com/sports/football/roster/2015-16
Maxwell McCormick,Football,2015,Fr.,OLB,"Holland, Ohio",St. John's Jesuit HS,6-3,214,https://cornellbigred.com/sports/football/roster/2015-16
Michael Hobson,Football,2015,Jr.,PK,"Coos Bay, Ore.",North Bend HS,5-10,179,https://cornellbigred.com/sports/football/roster/2015-16
Michael Staples,Football,2015,Jr.,DL,"Wayne, Pa.",Radnor HS,6-3,293,https://cornellbigred.com/sports/football/roster/2015-16
Miles Norris,Football,2015,Jr.,ILB,"Baltimore, Md.",Gilman School,6-0,240,https://cornellbigred.com/sports/football/roster/2015-16
Nick Bland,Football,2015,Jr.,TE,"Milton, Mass.",Milton Academy,6-5,243,https://cornellbigred.com/sports/football/roster/2015-16
Nick Gesualdi,Football,2015,So.,S,"Sykesville, Md.",Boys Latin School,6-0,203,https://cornellbigred.com/sports/football/roster/2015-16
Oscar Boochever,Football,2015,Fr.,TE,"Washington, D.C.",Sidwell Friends School,6-2,220,https://cornellbigred.com/sports/football/roster/2015-16
Reis Seggebruch,Football,2015,Fr.,ILB,"Tomball, Texas",Tomball Memorial HS,6-0,227,https://cornellbigred.com/sports/football/roster/2015-16
Robert Somborn,Football,2015,Jr.,QB,"McKinney, Texas",McKinney HS,6-1,194,https://cornellbigred.com/sports/football/roster/2015-16
Rush Imhotep,Football,2015,Sr.,S,"Brooklyn, N.Y.",Poly Prep Country Day School,6-2,216,https://cornellbigred.com/sports/football/roster/2015-16
Ryan Kelley,Football,2015,Fr.,ILB,"Ross, Calif.",Marin Catholic HS,6-3,226,https://cornellbigred.com/sports/football/roster/2015-16
Sean Scullen,Football,2015,So.,S,"Rochester, Mich.",Stoney Creek HS,6-3,218,https://cornellbigred.com/sports/football/roster/2015-16
Seth Hope,Football,2015,So.,DL,"Fort Thomas, Ky.",Highlands HS,6-3,252,https://cornellbigred.com/sports/football/roster/2015-16
Spencer Kleinpeter,Football,2015,Fr.,WR,"Baton Rouge, La.",Episcopal HS,5-10,158,https://cornellbigred.com/sports/football/roster/2015-16
Steven Rodriguez,Football,2015,Fr.,RB,"Miami Lakes, Fla.",Mater Academy Charter HS,6-2,190,https://cornellbigred.com/sports/football/roster/2015-16
Theo  Goosen,Football,2015,So.,OL,"Virginia Beach, Va.",Tallwood HS,6-4,299,https://cornellbigred.com/sports/football/roster/2015-16
Tim Morales,Football,2015,Fr.,PK,"Rumson, N.J.",Rumson Fair Haven Regional HS,6-2,165,https://cornellbigred.com/sports/football/roster/2015-16
Trey Duncombe,Football,2015,So.,CB,"Fort Bragg, N.C.",South View HS,5-10,189,https://cornellbigred.com/sports/football/roster/2015-16
Twan Terrell,Football,2015,Sr.,S,"Rockmart, Ga.",Woodland HS,6-2,222,https://cornellbigred.com/sports/football/roster/2015-16
VJ Fitzpatrick,Football,2015,Sr.,WR,"O'Fallon, Mo.",Fort Zumwalt North HS,6-1,194,https://cornellbigred.com/sports/football/roster/2015-16
Victor Olapinsin,Football,2015,Fr.,OLB,"Bloomfield, N.J.",Bloomfield HS,6-3,220,https://cornellbigred.com/sports/football/roster/2015-16
Zach Mays,Football,2015,Fr.,PK,"Las Vegas, Nev.",Centennial HS,6-0,160,https://cornellbigred.com/sports/football/roster/2015-16
Zach Strong,Football,2015,Fr.,OL,"Kennesaw, Ga.",Mount Paran Christian School,6-9,290,https://cornellbigred.com/sports/football/roster/2015-16
Zach Wilk,Football,2015,Sr.,OL,"Harrisburg, Pa.",Central Dauphin HS,6-4,303,https://cornellbigred.com/sports/football/roster/2015-16
Zack Brienza,Football,2015,Fr.,WR,"Rochester, N.Y.",Aquinas Institute,5-7,155,https://cornellbigred.com/sports/football/roster/2015-16
Alberto Sandoval,Football,2016,Jr.,DL,"Wixom, Mich.",Brother Rice HS,6-4,288,https://cornellbigred.com/sports/football/roster/2016-17
Alex Emanuels,Football,2016,Sr.,OL,"Mercer Island, Wash.",Mercer Island HS,6-2,278,https://cornellbigred.com/sports/football/roster/2016-17
Austin Holmes,Football,2016,So.,CB,"Silver Spring, Md.",The Maret School,5-9,185,https://cornellbigred.com/sports/football/roster/2016-17
Baba  Adejuyigbe,Football,2016,Jr.,ILB,"Kwazulu Natal, South Africa",Hilton College,6-0,220,https://cornellbigred.com/sports/football/roster/2016-17
Ben Rogers,Football,2016,Sr.,WR,"Geneva, Ill.",Geneva Community HS,6-2,215,https://cornellbigred.com/sports/football/roster/2016-17
Brady Malone,Football,2016,Sr.,WR,"Herndon, Va.",Gonzaga College HS,6-3,206,https://cornellbigred.com/sports/football/roster/2016-17
Brett Jones,Football,2016,Sr.,DL,"Naperville, Ill.",Naperville North HS,6-0,290,https://cornellbigred.com/sports/football/roster/2016-17
Brock Thomas,Football,2016,Jr.,S,"Plano, Texas",Trinity Christian Academy-Addison,6-0,200,https://cornellbigred.com/sports/football/roster/2016-17
Cameron  Ryan,Football,2016,Fr.,ILB,"Milford, Conn.",St. Joseph HS,6-4,210,https://cornellbigred.com/sports/football/roster/2016-17
Chase Wickenheiser,Football,2016,So.,DL,"Clarks Summit, Pa.",Abington Heights HS,6-5,275,https://cornellbigred.com/sports/football/roster/2016-17
Chris Fraser,Football,2016,Sr.,P,"Potomac, Md.",Saint Albans School For Boys,6-2,211,https://cornellbigred.com/sports/football/roster/2016-17
Chris Walker,Football,2016,So.,RB,"Lewisburg, Tenn.",Marshall County HS,6-1,206,https://cornellbigred.com/sports/football/roster/2016-17
Christian Kelley,Football,2016,So.,FB,"Kulpmont, Pa.",Mount Carmel Area HS,6-2,249,https://cornellbigred.com/sports/football/roster/2016-17
Collin Shaw,Football,2016,Sr.,WR,"Plano, Texas",Plano East Senior HS,6-2,210,https://cornellbigred.com/sports/football/roster/2016-17
Corey Dean,Football,2016,Sr.,DL,"Cortlandt Manor, N.Y.",Walter Panas HS,6-3,265,https://cornellbigred.com/sports/football/roster/2016-17
Cory Haslam,Football,2016,Fr.,DL,"Trumbull, Conn.",Trumbull HS,6-2,243,https://cornellbigred.com/sports/football/roster/2016-17
Curt McLeod,Football,2016,So.,TE,"Hingham, Mass.",Williston Northampton School,6-5,241,https://cornellbigred.com/sports/football/roster/2016-17
Cyrus Nolan,Football,2016,So.,OLB,"Encinitas, Calif.",Bishop's HS,6-3,235,https://cornellbigred.com/sports/football/roster/2016-17
DJ Woullard,Football,2016,So.,CB,"Fullerton, Calif.",Fullerton Union HS,6-1,196,https://cornellbigred.com/sports/football/roster/2016-17
Dalton Banks,Football,2016,So.,QB,"San Antonio, Texas",Alamo Heights HS,6-3,232,https://cornellbigred.com/sports/football/roster/2016-17
Dan Morin,Football,2016,Sr.,OL,"Overland Park, Kan.",St. Thomas Aquinas HS,6-3,282,https://cornellbigred.com/sports/football/roster/2016-17
Daniel Crochet,Football,2016,Jr.,ILB,"Stone Mountain, Ga.",Saint Pius X Catholic HS,6-3,236,https://cornellbigred.com/sports/football/roster/2016-17
David D'Amelio,Football,2016,So.,OL,"Naples, Fla.",Barron Collier HS,6-3,287,https://cornellbigred.com/sports/football/roster/2016-17
David Jones,Football,2016,Fr.,CB,"Sugar Land, Texas",St. Thomas HS,6-0,180,https://cornellbigred.com/sports/football/roster/2016-17
