Name,Sport,Year,Class_Year,Position,Hometown,High_School,Height,Weight,Source_URL
Jimmy Heinz,Baseball,2006,So.,IF,"Winnetka, Ill.",New Trier HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Josh Foster,Baseball,2006,Sr.,OF,"Lake Oswego, Ore.",Lake Oswego HS,5-9,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Kaleb Hutchinson,Baseball,2006,Jr.,OF,"Vancouver, Wash.",Skyview HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Kevin Conlin,Baseball,2006,Jr.,P,"Glendale, N.Y.",Monsignor McClancy,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Kyle Groth,Baseball,2006,Fr.,OF,"Delray Beach, Fla.",Pope John Paul II HS,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Matt Goodson,Baseball,2006,Sr.,C,"Scotts Valley, Calif.",Bellarmine College Prep,5-11,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Michael  Hudson,Baseball,2006,Sr.,P,"Bloomfield Hills, Mich.",Detroit CDS,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Michael Weiss,Baseball,2006,Sr.,IF,"Geenwich, Conn.",Greenwich HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Nathan Ford,Baseball,2006,Fr.,C/IF,"Palo Alto, Calif.",Palo Alto HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Rocky  Collins,Baseball,2006,Sr.,P,"Santa Monica, Calif.",Santa Monica HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Ry Kagan,Baseball,2006,So.,OF,"Portland, Ore.",Cleveland HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Ryan Michael,Baseball,2006,So.,IF,"San Jose, Calif.",Leigh HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Scott Hardinger,Baseball,2006,Fr.,IF,"Lynden, Wash.",Lynden HS,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Seth  Gordon,Baseball,2006,Sr.,IF,"Albany, N.Y.",Albany Academy,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Stephen Osterer,Baseball,2006,Fr.,P,"Nepean, Ont.",Sir Robert Borden HS,5-9,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Tom Laughlin,Baseball,2006,Jr.,P,"Eden Praire, Minn.",Eden Praire HS,6-6,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Tony Bandanza,Baseball,2006,So.,IF,"Hudson, N.H.",St. Mark's HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Walker Toma,Baseball,2006,So.,P,"Berkeley, Calif.",Berkeley HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2006
William Pauly,Baseball,2006,Sr.,C,"Atlantic Beach, Fla.",Episcopal HS,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Willie Meier,Baseball,2006,Jr.,P,"Reno, Nev.",Reed HS,5-9,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Adam Jacobs,Baseball,2007,Jr.,C,"Del Mar, Calif.",Torrey Pines HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Adam Loeding,Baseball,2007,Sr.,RHP,"Waldwick, N.J.",Waldwich HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Blake Hamilton,Baseball,2007,Sr.,LHP,"San Antonio, Texas",St. Mary's Hall,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Brant McKown,Baseball,2007,So.,C,"Tampa, Fla.",Tampa Jesuit,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Brian Kaufman,Baseball,2007,Jr.,OF,"Austin, Texas",St. Stephan's Episcopal,5-11,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Bryce Klinesteker,Baseball,2007,Jr.,P,"Los Molinos, Calif.",Red Bluff HS,6-5,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Casey Brett,Baseball,2007,So.,IF,"Spokane, Wash.",Joel E. Ferris HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2007
David Rochefort,Baseball,2007,Fr.,P,"Arcadia, Calif.",Loyola HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Domenic Di Ricco,Baseball,2007,So.,OF/P,"Portola Valley, Calif.",Menlo-Atherton HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Eddie Timpano,Baseball,2007,So.,C,"New Hartford, N.Y.",New Hartford HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Jim Hyland,Baseball,2007,Sr.,IF,"Pittsburgh, Pa",Central Catholic HS,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Jimmy Heinz,Baseball,2007,Jr.,IF,"Winnetka, Ill.",New Trier HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Justin Milo,Baseball,2007,Fr.,IF,"Eden Prairie, Minn.",Edina HS,5-8,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Kaleb Hutchinson,Baseball,2007,Sr.,OF,"Vancouver, Wash.",Skyview HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Kyle Groth,Baseball,2007,So.,OF,"Delray Beach, Fla.",Pope John Paul II HS,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Matt Hill,Baseball,2007,Fr.,P,"Eden Prairie, Minn.",Eden Prairie HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Nate David,Baseball,2007,Fr.,IF,"Atlanta, Ga.",Woodward Academy,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Nathan Ford,Baseball,2007,So.,C/IF,"Palo Alto, Calif.",Palo Alto HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Ry Kagan,Baseball,2007,Jr.,OF,"Portland, Ore.",Cleveland HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Ryan Michael,Baseball,2007,Jr.,IF,"San Jose, Calif.",Leigh HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Scott Hardinger,Baseball,2007,So.,IF,"Lynden, Wash.",Lynden HS,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Stephen Osterer,Baseball,2007,So.,P,"Nepean, Ont.",Sir Robert Borden HS,5-9,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Steven Dannaway,Baseball,2007,Fr.,IF,"Honolulu, Hawaii",Punahou School,5-8,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Tom Laughlin,Baseball,2007,Sr.,P,"Eden Praire, Minn.",Eden Praire HS,6-6,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Tony Bandanza,Baseball,2007,Jr.,IF,"Hudson, N.H.",St. Mark's HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Tony Bertucci,Baseball,2007,Fr.,P,"Belleville, Ill.",St. Louis University HS,6-4,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Walker Toma,Baseball,2007,Jr.,P,"Berkeley, Calif.",Berkeley HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Willie Meier,Baseball,2007,Sr.,P,"Reno, Nev.",Reed HS,5-9,N/A,https://cornellbigred.com/sports/baseball/roster/2007
Adam Jacobs,Baseball,2008,Sr.,C,"Del Mar, Calif.",Torrey Pines HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Brian Kaufman,Baseball,2008,Sr.,OF,"Austin, Texas",St. Stephen's School,5-11,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Bryce Klinesteker,Baseball,2008,Sr.,LHP,"Los Molinos, Calif.",Red Bluff HS,6-5,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Casey Brett,Baseball,2008,Jr.,IF,"Spokane, Wash.",Joel E. Ferris HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Corey Pappel,Baseball,2008,Fr.,RHP,"Mississauga, Ontario",The Woodlands School,6-6,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Dan Lea,Baseball,2008,Fr.,RHP,"Allentown, Pa.",Salisbury HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2008
David Polhemus,Baseball,2008,Fr.,IF,"San Francisco, Calif.",St. Ignatius HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2008
David Rochefort,Baseball,2008,So.,RHP,"Arcadia, Calif.",Loyola HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Domenic Di Ricco,Baseball,2008,Jr.,OF,"Portola Valley, Calif.",Menlo-Atherton HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Eddie Timpano,Baseball,2008,Jr.,C,"New Hartford, N.Y.",New Hartford HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Jadd Schmeltzer,Baseball,2008,Fr.,RHP/IF,"Tappan, N.Y.",Bergen Catholic HS,6-5,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Jerry Vitiello,Baseball,2008,So.,IF,"Yonkers, N.Y.",Regis HS,5-11,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Jimmy Heinz,Baseball,2008,Sr.,IF,"Winnetka, Ill.",New Trier HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Kaleb Hutchinson,Baseball,2008,Sr.,OF,"Vancouver, Wash.",Skyview HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Kyle Groth,Baseball,2008,Jr.,OF,"Delray Beach, Fla.",Pope John Paul II HS,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Matt Hill,Baseball,2008,So.,LHP,"Export, Pa.",Franklin Regional,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Mickey Brodsky,Baseball,2008,Fr.,LHP/IF,"Encino, Calif.",Cleveland HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Mike Carroll,Baseball,2008,Fr.,LHP,"Glenmont, N.Y.",Bethlehem Central HS,5-9,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Mike Lopez,Baseball,2008,Fr.,C,"Boynton Beach, Fla.",Atlantic Community HS,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Nate David,Baseball,2008,So.,IF,"Atlanta, Ga.",Woodward Academy,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2008
